Name	Position	Team	GP	G	A	PTS	+/-	PIM	PPG	PPA	SHG	SHA	SOG	DS	GWG	OTG	First	Insurance	SOGP	SO/G	ATT	SOWG	SO%	FOA	FOW	FO%	PTS/G	PIM/G
Hubert Veilleux	D	Rim	38	0	2	2	-3	10	0	0	0	0	14	14	0	0	0	0	0	0	0	0	0.0	1	0	0.0	0.05	0.26
Jonathan Ryan	C	Vic	50	0	2	2	-13	32	0	0	0	0	35	35	0	0	0	0	0	0	0	0	0.0	1	1	100.0	0.04	0.64
Ryan James Hand	D	BaC	51	0	2	2	-12	259	0	0	0	1	19	19	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.04	5.08
Jason Churchill	G	Hal	53	0	2	2	0	6	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.04	0.11
Sylvain Michaud	G	Dru	53	0	2	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.04	0.11
Adam Russo	G	Bat	53	0	2	2	0	21	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.04	0.4
Olivier Legault	LW	Lew	54	0	2	2	-2	115	0	0	0	0	7	7	0	0	0	0	0	0	0	0	0.0	2	1	50.0	0.04	2.13
Guillaume Lavallee	G	Rim	55	0	2	2	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.04	0.25
Francis Charette	C	Rim	2	1	0	1	-2	0	0	0	0	0	11	11	0	0	1	0	0	0	0	0	0.0	6	2	33.3	0.5	0.0
Nicolas Meilleur	LW	Bat	2	1	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.5	0.0
Nicholas Pelletier	LW	Mon	2	1	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0.0	0	0	0.0	0.5	0.0
Jean-Sebastien Breton	C	Que	3	1	0	1	-3	0	1	0	0	0	2	2	0	0	0	0	0	0	0	0	0.0	12	6	50.0	0.33	0.0
Maxime Fortunus	D	BaC	5	1	0	1	-1	15	1	0	0	0	10	10	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.2	3.0
Philippe Poirier	D	Bat	52	1	0	1	-18	37	0	0	0	0	22	22	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.02	0.71
Luke Gallant	D	Cap	1	0	1	1	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0.0	0	0	0.0	1.0	2.0
Mathieu St-Onge	LW	VdO	1	0	1	1	0	2	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0.0	0	0	0.0	1.0	2.0
Patrick Fournier	LW	Sha	2	0	1	1	1	4	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.5	2.0
Samuel Belzile	LW	Rim	5	0	1	1	-1	2	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0.0	12	5	41.7	0.2	0.4
Kevin Hebert	D	Bat	5	0	1	1	-5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.2	1.0
Jean-Pierre Morin	D	Chi	5	0	1	1	3	4	0	0	0	0	8	8	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.2	0.8
Vaclav Fiser	LW	Que	8	0	1	1	-2	2	0	0	0	0	7	7	0	0	0	0	0	0	0	0	0.0	23	12	52.2	0.13	0.25
Jonathan Yergeau	D	Bat	8	0	1	1	-3	12	0	0	0	0	5	5	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.13	1.5
Brandon Tidball	LW	Que	9	0	1	1	-2	41	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0.0	4	2	50.0	0.11	4.56
Derick Brassard	C	Dru	10	0	1	1	-1	0	0	0	0	0	6	6	0	0	0	0	0	0	0	0	0.0	55	25	45.5	0.1	0.0
Martin Thibeault	C	VdO	10	0	1	1	0	2	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0.0	31	18	58.1	0.1	0.2
Grant Thomas	LW	Hal	14	0	1	1	-3	18	0	0	0	0	12	12	0	0	0	0	0	0	0	0	0.0	2	2	100.0	0.07	1.29
Jean-Claude Milot	D	Rou	16	0	1	1	4	20	0	0	0	0	19	19	0	0	0	0	0	0	0	0	0.0	1	0	0.0	0.06	1.25
Colin Ledaire	D	Rou	18	0	1	1	-2	23	0	0	0	0	6	6	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.06	1.28
Arthur Kiyaga	D	Vic	26	0	1	1	-7	6	0	0	0	0	19	19	0	0	0	0	0	0	0	0	0.0	2	1	50.0	0.04	0.23
Louis-Philippe Lachance	D	Que	28	0	1	1	-3	48	0	1	0	0	18	18	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.04	1.71
Francois Gauthier	D	VdO	30	0	1	1	0	24	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0.0	1	0	0.0	0.03	0.8
Colby MacIntyre	LW	Hal	32	0	1	1	-2	83	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0.0	4	4	100.0	0.03	2.59
Tyler Chambers	RW	Que	35	0	1	1	-12	118	0	1	0	0	7	7	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.03	3.37
